Time (s),Accelerometer - X (g),Accelerometer - Y (g),Accelerometer - Z (g),Accelerometer - Total (g)
22.35,0.16,0.08,1.05,0.18
22.49,-0.44,-0.52,0.66,0.68
22.66,-0.10,-0.74,0.45,0.74
22.83,0.13,-0.99,0.43,1.00
22.97,-0.08,-0.79,0.79,0.80
23.14,-0.10,-0.69,0.22,0.70
23.28,-0.12,-0.81,-0.31,0.82
23.44,-0.08,-0.61,0.67,0.61
23.61,0.04,-0.65,0.62,0.65
23.76,0.05,0.35,-0.24,0.35
23.92,-1.00,0.14,-0.47,1.01
24.09,0.06,-0.78,-0.11,0.78
24.23,-0.59,-0.36,0.70,0.69
24.40,-0.22,-0.90,-0.03,0.92
24.55,-0.03,-0.75,-0.81,0.75
24.70,-0.01,-0.63,-0.75,0.63
24.87,-0.07,-0.68,-0.73,0.68
25.02,-0.31,-1.27,-0.86,1.31
25.18,-0.15,-0.03,1.03,0.15
25.34,0.03,-0.04,0.92,0.06
25.51,0.19,0.12,0.97,0.23
25.66,0.15,-0.51,0.83,0.53
25.84,0.09,-0.14,1.04,0.17
25.98,-0.35,-0.68,0.56,0.77
26.14,-0.13,-0.54,0.55,0.56
26.29,-0.14,-0.82,0.79,0.83
26.46,-0.03,-0.88,0.58,0.88
26.62,-0.02,-0.48,1.14,0.48
26.77,-2.44,0.37,5.62,2.47
26.93,-0.88,0.36,0.04,0.95
27.08,-0.60,0.09,0.45,0.60
27.25,0.05,-0.56,0.45,0.56
27.43,-0.26,-0.89,0.18,0.93
27.56,-0.93,-0.30,0.81,0.97
27.73,0.71,-0.78,0.04,1.05
27.88,-0.91,-0.54,0.38,1.05
28.05,6.35,-1.53,0.39,6.53
28.21,0.31,-0.52,-0.54,0.60
28.36,0.00,-1.30,0.14,1.30
28.53,-0.41,-0.03,1.06,0.41
28.67,-0.17,-0.19,0.75,0.25
28.84,-0.32,-0.47,0.33,0.57
29.01,-0.67,-0.75,-0.19,1.01
29.16,-0.88,-0.72,0.48,1.14
29.32,-0.20,-0.30,0.32,0.36
29.47,0.01,-0.72,1.06,0.72
29.64,-0.45,-0.63,0.37,0.77
29.78,0.01,-0.80,0.33,0.80
29.95,-0.64,-0.65,0.50,0.92
30.10,-0.69,-0.50,1.61,0.85
30.28,-1.45,-0.33,0.60,1.49
30.42,1.66,-1.67,-0.67,2.35
30.56,0.04,0.09,-1.08,0.10
30.73,-0.07,-0.13,-0.60,0.15
30.90,-0.74,0.43,-0.60,0.86
31.06,-0.78,-1.30,-0.41,1.51
31.21,0.05,-0.56,0.20,0.57
31.37,-0.56,0.01,0.78,0.56
31.54,0.00,-1.10,0.34,1.10
31.69,-0.39,0.69,2.39,0.79
31.84,-0.69,-0.79,0.21,1.05
32.00,-0.59,-0.19,0.97,0.62
32.18,-1.37,-0.63,0.54,1.50
32.32,-0.12,-0.40,-0.30,0.42
32.49,0.36,-0.86,-0.40,0.93
32.63,-0.44,-0.72,0.02,0.85
32.80,1.03,0.45,-0.26,1.12
32.95,-0.46,-0.41,-0.40,0.61
33.11,0.50,-0.07,0.17,0.50
33.28,-0.43,-0.31,0.94,0.53
33.45,-0.34,-0.77,-0.01,0.84
33.60,-0.84,-0.23,0.20,0.87
33.75,-0.08,0.08,0.23,0.12
33.91,-0.94,-0.49,-0.25,1.06
34.08,-1.07,-0.39,-0.02,1.14
34.22,-0.52,-0.22,0.67,0.56
34.39,-1.04,-1.08,0.06,1.50
34.54,-0.31,-0.60,0.75,0.68
34.71,-0.09,-0.82,0.63,0.82
34.85,-0.52,-0.62,0.47,0.81
35.02,-0.87,-0.53,0.16,1.02
35.17,-0.71,-0.79,0.65,1.06
35.32,-0.84,-0.27,0.24,0.88
35.49,-0.33,-0.81,0.42,0.87
35.64,-0.25,-0.79,0.34,0.83
35.80,-0.66,-1.01,0.49,1.21
35.95,-0.76,-0.99,0.87,1.25
36.15,0.04,0.00,1.40,0.04
36.28,0.55,-3.19,-0.49,3.24
36.45,0.66,-0.96,0.27,1.17
36.61,0.36,-0.77,0.41,0.85
36.76,0.12,-0.71,0.59,0.72
36.91,-0.10,-0.89,0.40,0.90
37.06,-0.22,-0.90,0.25,0.93
37.23,-0.22,-0.92,0.25,0.95
37.37,-0.23,-0.90,0.27,0.93
37.54,-0.22,-0.91,0.27,0.93
37.70,-0.21,-0.91,0.29,0.94
37.87,-0.21,-0.90,0.31,0.92
38.02,-0.21,-0.88,0.34,0.91
38.19,-0.21,-0.89,0.34,0.91
38.32,-0.20,-0.88,0.36,0.90
38.50,-0.19,-0.87,0.38,0.89
38.65,-0.19,-0.87,0.34,0.89
38.80,-0.20,-0.86,0.39,0.89
38.97,-0.20,-0.86,0.40,0.88
39.13,-0.20,-0.86,0.43,0.88
39.28,-0.20,-0.84,0.42,0.86
39.44,-0.19,-0.85,0.44,0.87
39.61,-0.19,-0.84,0.45,0.86
39.76,-0.19,-0.83,0.45,0.86
