Time (s),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s)
9.18,0.45,0.00,0.00
9.33,-1.20,0.07,1.56
9.49,-55.82,1.95,26.55
9.64,7.20,-0.45,0.00
9.79,7.94,-0.03,0.35
9.96,5.97,-0.14,0.00
10.11,6.22,-0.15,0.00
10.27,6.59,-0.39,0.00
10.44,6.03,-0.27,0.00
10.59,4.07,-0.26,0.00
10.75,6.40,-0.02,0.00
10.92,7.63,0.03,0.00
11.07,8.61,0.21,0.00
11.24,4.44,0.17,0.00
11.39,-2.31,-0.31,-1.60
11.55,-27.19,-0.04,17.17
11.70,4.26,0.41,0.43
11.87,8.55,0.64,0.00
12.03,2.97,-0.20,0.00
12.18,2.35,-0.01,0.00
12.33,2.54,-0.07,0.00
12.49,0.08,0.12,0.00
12.66,-0.04,-0.13,0.00
12.81,-0.16,-0.06,0.00
12.96,-0.04,-0.06,0.00
13.12,-0.16,0.12,0.00
13.27,-0.28,-0.13,0.00
13.44,-0.28,0.00,0.00
13.59,-0.28,0.18,0.00
13.75,-0.16,0.12,0.00
13.91,0.02,-0.06,0.00
14.07,-0.04,-0.06,0.00
14.22,-0.10,0.18,0.00
14.40,-0.10,0.00,0.00
14.55,0.08,0.00,0.00
14.70,-0.10,-0.12,0.00
14.87,-0.22,0.00,0.00
15.01,-0.16,-0.12,0.00
15.18,-0.04,0.06,0.00
15.34,0.02,0.18,0.00
15.49,0.02,0.00,0.00
15.66,0.02,-0.06,0.00
15.81,0.08,0.12,0.00
15.97,-0.16,0.12,0.00
16.14,-0.04,-0.06,0.00
16.29,-0.04,-0.06,0.00
16.44,0.02,0.00,0.00
16.60,-0.04,-0.06,0.00
16.75,-0.10,-0.12,0.00
16.92,0.08,0.18,0.00
17.07,0.02,0.30,0.00
17.23,0.08,-0.06,0.00
17.38,-0.10,0.00,0.00
17.55,-0.16,-0.12,0.00
17.70,2.93,-0.01,1.95
17.86,110.69,0.55,-5.34
18.02,75.81,3.70,-48.90
18.18,-162.82,16.55,-96.59
18.35,-0.33,0.05,-0.35
18.50,-61.69,3.98,15.57
18.66,3.29,1.69,0.00
18.83,-42.04,5.87,-13.01
18.98,1.94,0.54,0.00
19.14,3.85,1.45,0.00
19.29,0.59,0.48,0.00
19.44,-217.08,8.23,39.30
19.60,157.35,25.69,-3.28
19.77,-13.53,-26.29,-27.95
19.94,-108.42,-42.10,-14.45
20.08,-1.37,-0.12,0.57
20.25,-2.08,11.06,5.92
20.40,1.20,-4.81,-2.70
20.56,1.02,-2.35,-1.32
20.71,-0.08,0.24,0.00
20.88,0.04,0.18,0.00
21.03,2.19,-0.02,-0.49
21.19,-0.02,0.11,0.00
21.36,0.22,-0.13,0.00
21.51,1.33,0.05,0.00
21.68,3.23,0.22,-1.29
21.82,0.10,0.05,0.00
21.99,-0.08,0.17,0.00
22.15,-0.08,0.17,0.00
22.31,0.04,-0.01,0.00
22.47,-0.14,0.11,0.00
22.62,-0.14,-0.01,0.00
22.79,-0.08,-0.19,0.00
22.93,0.04,-0.07,0.00
23.09,-0.08,0.05,0.00
23.25,-0.14,-0.07,0.00
23.40,0.16,0.11,0.00
23.57,-0.02,0.05,0.00
23.73,0.22,0.05,0.00
23.88,1.14,-0.14,-1.03
24.04,1.76,0.66,0.00
24.19,-0.82,0.43,0.56
24.36,-0.14,0.05,0.00
24.51,0.04,0.11,0.00
24.69,-0.14,-0.07,0.00
24.83,-0.02,0.11,0.00
24.99,-0.14,0.18,0.00
25.14,-0.02,-0.25,0.00
25.29,0.04,-0.01,0.00
25.45,-0.14,0.24,0.00
25.62,-0.08,-0.01,0.00
25.77,-0.20,-0.13,0.00
25.94,-0.02,-0.13,0.00
26.10,-0.14,0.05,0.00
26.25,0.22,-0.07,0.00
26.40,0.22,-0.01,0.00
26.56,0.04,0.05,0.00
26.71,-0.14,-0.01,0.00
26.88,-0.08,0.05,0.00
