Time (s),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°)
10.11,73.24,170.48,-0.19
10.27,72.45,170.53,-0.22
10.44,71.50,170.60,-0.25
10.59,70.60,170.65,-0.28
10.75,69.69,170.71,-0.33
10.92,68.39,170.74,-0.35
11.07,66.68,170.73,-0.36
11.24,65.23,170.75,-0.43
11.39,64.92,170.71,-0.40
11.55,68.92,169.95,0.17
11.70,72.60,169.17,0.79
11.87,71.50,169.22,0.72
12.03,70.01,169.30,0.62
12.18,69.71,169.30,0.63
12.33,68.66,169.33,0.61
12.49,68.57,169.41,0.54
12.66,68.57,169.42,0.53
12.81,68.60,169.44,0.51
12.96,68.58,169.42,0.53
13.12,68.60,169.44,0.52
13.27,68.61,169.44,0.51
13.44,68.65,169.44,0.52
13.59,68.74,169.42,0.53
13.75,68.78,169.41,0.54
13.91,68.80,169.41,0.55
14.07,68.82,169.40,0.55
14.22,68.84,169.39,0.56
14.40,68.84,169.37,0.59
14.55,68.83,169.39,0.56
14.70,68.86,169.40,0.55
14.87,68.85,169.38,0.56
15.01,68.83,169.38,0.56
15.18,68.85,169.38,0.57
15.34,68.87,169.38,0.55
15.49,68.79,169.37,0.56
15.66,68.83,169.37,0.56
15.81,68.82,169.37,0.56
15.97,68.82,169.36,0.57
16.14,68.86,169.37,0.57
16.29,68.83,169.37,0.57
16.44,68.82,169.37,0.57
16.60,68.81,169.37,0.56
16.75,68.82,169.36,0.58
16.92,68.81,169.36,0.58
17.07,68.82,169.37,0.54
17.23,68.82,169.38,0.53
17.38,68.83,169.38,0.54
17.55,68.83,169.36,0.57
17.70,68.82,169.37,0.55
17.86,62.05,170.83,-0.47
18.02,43.57,169.55,0.49
18.18,46.31,144.87,14.33
18.35,49.12,141.52,15.77
18.50,54.65,137.81,17.61
18.66,61.61,137.89,16.13
18.83,61.51,136.92,16.31
18.98,62.17,136.25,16.56
19.14,61.84,136.25,16.49
19.29,61.10,136.23,16.36
19.44,76.15,137.31,12.14
19.60,78.69,138.29,8.44
19.77,69.39,138.51,9.97
19.94,71.53,139.03,12.40
20.08,78.16,138.59,15.46
20.25,78.61,138.06,13.75
20.40,78.71,138.21,13.24
20.56,78.38,138.42,14.21
20.71,78.41,138.30,13.90
20.88,78.38,138.31,13.98
21.03,78.30,138.32,13.98
21.19,77.81,138.73,13.66
21.36,77.74,138.74,13.66
21.51,77.60,138.72,13.70
21.68,77.25,138.67,13.78
21.82,76.48,138.43,14.08
21.99,76.44,138.41,14.09
22.15,76.42,138.40,14.08
22.31,76.44,138.40,14.08
22.47,76.42,138.37,14.11
22.62,76.41,138.36,14.11
22.79,76.42,138.36,14.11
22.93,76.41,138.34,14.14
23.09,76.38,138.35,14.13
23.25,76.36,138.37,14.10
23.40,76.37,138.36,14.11
23.57,76.35,138.34,14.13
23.73,76.32,138.32,14.15
23.88,76.16,138.24,14.24
24.04,74.87,137.57,14.96
24.19,73.89,138.23,14.51
24.36,73.88,138.24,14.45
24.51,73.85,138.21,14.48
24.69,73.86,138.24,14.44
24.83,73.82,138.23,14.44
24.99,73.83,138.23,14.43
25.14,73.85,138.21,14.44
25.29,73.85,138.20,14.45
25.45,73.84,138.19,14.46
25.62,73.83,138.17,14.47
25.77,73.84,138.17,14.46
25.94,73.83,138.16,14.47
26.10,73.84,138.16,14.46
26.25,73.84,138.15,14.46
26.40,73.71,138.13,14.48
26.56,73.67,138.10,14.53
26.71,73.65,138.11,14.50
26.88,73.64,138.09,14.52
