Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
12.21,-0.50,19.15,19.16
12.36,0.39,0.98,1.05
12.52,10.14,4.72,11.19
12.67,3.52,13.99,14.43
12.84,6.00,45.05,45.45
12.98,10.38,34.83,36.34
13.15,17.17,49.71,52.59
13.31,15.07,51.64,53.80
13.51,23.68,65.03,69.20
13.63,24.06,71.67,75.60
13.81,26.43,81.22,85.41
13.95,19.08,56.55,59.68
14.11,82.80,55.27,99.55
14.29,-14.45,-7.66,16.35
14.43,8.56,3.35,9.19
14.57,21.91,8.55,23.52
14.74,15.01,2.70,15.25
14.95,22.78,4.83,23.29
15.06,5.28,-1.47,5.48
15.21,9.55,-2.71,9.93
15.37,27.01,1.62,27.06
15.54,45.07,2.45,45.14
15.70,31.76,6.23,32.36
15.83,24.94,9.55,26.71
16.00,13.56,0.89,13.59
16.15,31.98,-0.39,31.98
16.33,53.76,2.31,53.81
16.47,23.20,3.41,23.45
16.63,14.46,4.98,15.29
16.79,25.88,0.32,25.88
16.94,48.69,5.70,49.03
17.14,43.49,3.79,43.65
17.28,26.60,8.78,28.02
17.44,-12.23,-4.81,13.14
17.59,1.04,0.32,1.09
17.74,4.44,-3.67,5.76
17.90,-3.18,-3.71,4.89
18.07,-10.20,3.09,10.66
18.22,-3.47,1.90,3.96
18.38,-12.24,-0.72,12.26
18.54,-4.85,0.38,4.86
18.70,2.76,-0.83,2.89
18.85,-7.71,-22.66,23.93
19.01,-11.45,-22.55,25.30
19.16,-13.02,-17.83,22.08
19.34,-18.76,-32.10,37.18
19.48,-1.29,-10.26,10.34
19.65,-12.27,-54.87,56.23
19.81,-14.28,-61.09,62.73
19.96,-29.27,-58.80,65.69
20.13,-38.62,-99.03,106.29
20.29,-49.67,-113.12,123.54
20.46,-42.94,-91.30,100.89
20.59,-33.95,-81.28,88.09
20.76,14.97,50.43,52.61
20.91,-23.18,-139.88,141.79
21.07,33.88,0.38,33.88
21.24,8.69,-46.88,47.67
21.38,-7.73,-6.41,10.04
21.55,0.76,-18.67,18.68
21.72,-3.43,-9.88,10.46
21.86,-4.08,-5.85,7.13
22.03,-1.60,-0.35,1.64
22.18,3.50,6.12,7.05
22.35,-5.44,6.95,8.83
22.49,9.06,3.41,9.68
22.66,14.12,10.67,17.70
22.83,30.37,21.08,36.97
22.97,36.20,22.27,42.50
23.14,57.46,33.00,66.27
23.28,66.22,37.86,76.28
23.44,95.58,55.07,110.31
23.61,96.50,57.11,112.14
23.76,69.51,-40.38,80.39
23.92,22.02,-16.32,27.40
24.09,15.23,-2.89,15.50
24.23,31.31,4.45,31.62
24.40,56.75,19.49,60.00
24.55,27.29,11.22,29.50
24.70,-0.47,-0.17,0.50
24.87,0.01,0.05,0.05
25.02,-60.09,-18.79,62.96
25.18,-20.20,-7.54,21.56
25.34,-5.15,2.53,5.73
25.51,-0.08,0.18,0.20
25.66,-14.47,-10.78,18.04
25.84,-17.08,7.44,18.63
25.98,-8.06,10.42,13.17
26.14,-24.15,13.72,27.77
26.29,-45.31,24.13,51.34
26.46,-52.19,26.88,58.70
26.62,-52.87,24.20,58.14
26.77,-12.37,16.83,20.88
26.93,-21.00,0.68,21.01
27.08,-9.10,24.41,26.05
27.25,-10.03,54.97,55.88
27.43,2.12,56.27,56.31
27.56,-6.16,37.32,37.83
27.73,-10.16,136.93,137.30
27.88,-2.15,80.64,80.66
28.05,-85.19,74.08,112.90
28.21,-11.08,40.70,42.18
28.36,11.51,14.45,18.48
28.53,-0.67,4.71,4.75
28.67,2.45,-1.49,2.86
28.84,-18.31,25.20,31.15
29.01,-17.13,8.16,18.98
29.16,-30.77,-6.76,31.50
29.32,-53.77,-36.91,65.22
29.47,-76.66,-29.28,82.06
29.64,-68.57,-31.23,75.35
29.78,-85.86,-36.42,93.26
29.95,-104.09,-44.94,113.38
30.10,-115.54,-50.41,126.06
30.28,-121.36,-50.25,131.35
30.42,-112.87,-12.87,113.60
30.56,-99.05,-44.21,108.47
30.73,-34.64,68.11,76.41
30.90,-97.20,100.94,140.14
31.06,-20.76,-12.12,24.04
31.21,40.88,36.30,54.67
31.37,-22.77,-70.74,74.31
31.54,16.53,-42.64,45.73
31.69,-7.92,-79.48,79.88
31.84,-5.19,-66.76,66.97
32.00,-3.42,-61.55,61.64
32.18,-6.74,-83.02,83.29
32.32,-6.14,-83.19,83.42
32.49,1.19,-72.67,72.68
32.63,41.35,-105.20,113.04
32.80,-8.60,61.07,61.68
32.95,40.60,-116.28,123.16
33.11,0.06,8.77,8.77
33.28,22.47,-9.92,24.57
33.45,44.54,-22.45,49.87
33.60,27.01,-4.26,27.34
33.75,32.84,-11.12,34.67
33.91,18.02,-16.46,24.41
34.08,30.54,-10.57,32.32
34.22,36.50,-33.82,49.76
34.39,35.51,-32.48,48.12
34.54,34.51,-23.71,41.87
34.71,43.32,-37.89,57.55
34.85,18.78,-17.83,25.90
35.02,28.25,-27.05,39.11
35.17,50.47,-39.41,64.04
35.32,50.66,-44.22,67.25
35.49,56.32,-41.57,69.99
35.64,66.05,-55.07,85.99
35.80,56.58,-48.63,74.60
35.95,69.70,-53.44,87.83
36.15,88.53,-72.81,114.62
36.28,115.75,-22.75,117.97
36.45,11.11,-2.28,11.34
36.61,-1.91,0.41,1.96
36.76,-5.04,0.75,5.10
36.91,9.96,1.89,10.14
37.06,1.90,0.39,1.94
37.23,-0.52,-0.05,0.52
37.37,-0.45,-0.02,0.45
37.54,-0.73,-0.06,0.73
37.70,-0.71,-0.07,0.72
37.87,-0.45,-0.07,0.45
38.02,-0.56,-0.04,0.56
38.19,-0.44,-0.06,0.45
38.32,-0.47,-0.06,0.47
38.50,-0.66,-0.09,0.66
38.65,2.49,0.73,2.60
38.80,0.14,0.23,0.27
38.97,0.09,0.11,0.14
39.13,0.16,0.08,0.18
39.28,-0.14,0.04,0.14
39.44,0.09,0.05,0.10
39.61,0.01,0.04,0.04
39.76,-0.91,-0.24,0.94
